Region/Country/Area,country,Year,Series,Value,Footnotes,Source,
8,Albania,2010,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
8,Albania,2015,Emissions per capita (metric tons of carbon dioxide),1.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
8,Albania,2018,Emissions per capita (metric tons of carbon dioxide),1.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
8,Albania,2019,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
8,Albania,2020,Emissions per capita (metric tons of carbon dioxide),1.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),13691,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),42446,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),78045,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),96452,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2015,Emissions (thousand metric tons of carbon dioxide),131690,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2018,Emissions (thousand metric tons of carbon dioxide),138496,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2019,Emissions (thousand metric tons of carbon dioxide),143569,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2020,Emissions (thousand metric tons of carbon dioxide),135599,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,1975,Emissions per capita (metric tons of carbon dioxide),0.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,1985,Emissions per capita (metric tons of carbon dioxide),1.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2005,Emissions per capita (metric tons of carbon dioxide),2.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2010,Emissions per capita (metric tons of carbon dioxide),2.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2015,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2018,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2019,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
12,Algeria,2020,Emissions per capita (metric tons of carbon dioxide),3.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),2799,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),3819,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2005,Emissions (thousand metric tons of carbon dioxide),7510,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2010,Emissions (thousand metric tons of carbon dioxide),15863,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2015,Emissions (thousand metric tons of carbon dioxide),23293,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2018,Emissions (thousand metric tons of carbon dioxide),18989,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2019,Emissions (thousand metric tons of carbon dioxide),20748,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2020,Emissions (thousand metric tons of carbon dioxide),16939,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,1975,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,1985,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2005,Emissions per capita (metric tons of carbon dioxide),0.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2010,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2015,Emissions per capita (metric tons of carbon dioxide),0.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2018,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2019,Emissions per capita (metric tons of carbon dioxide),0.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
24,Angola,2020,Emissions per capita (metric tons of carbon dioxide),0.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,1975,Emissions (thousand metric tons of carbon dioxide),85498,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,1985,Emissions (thousand metric tons of carbon dioxide),88181,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2005,Emissions (thousand metric tons of carbon dioxide),143250,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2010,Emissions (thousand metric tons of carbon dioxide),164171,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2015,Emissions (thousand metric tons of carbon dioxide),181809,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2018,Emissions (thousand metric tons of carbon dioxide),173309,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2019,Emissions (thousand metric tons of carbon dioxide),164341,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2020,Emissions (thousand metric tons of carbon dioxide),150666,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,1975,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,1985,Emissions per capita (metric tons of carbon dioxide),2.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2005,Emissions per capita (metric tons of carbon dioxide),3.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2010,Emissions per capita (metric tons of carbon dioxide),4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2015,Emissions per capita (metric tons of carbon dioxide),4.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2018,Emissions per capita (metric tons of carbon dioxide),3.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2019,Emissions per capita (metric tons of carbon dioxide),3.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
32,Argentina,2020,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2005,Emissions (thousand metric tons of carbon dioxide),4163,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2010,Emissions (thousand metric tons of carbon dioxide),4118,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2015,Emissions (thousand metric tons of carbon dioxide),5222,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2018,Emissions (thousand metric tons of carbon dioxide),5522,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2019,Emissions (thousand metric tons of carbon dioxide),5986,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2020,Emissions (thousand metric tons of carbon dioxide),6464,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2005,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2010,Emissions per capita (metric tons of carbon dioxide),1.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2015,Emissions per capita (metric tons of carbon dioxide),1.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2018,Emissions per capita (metric tons of carbon dioxide),1.8,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2019,Emissions per capita (metric tons of carbon dioxide),2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
51,Armenia,2020,Emissions per capita (metric tons of carbon dioxide),2.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
36,Australia,1975,Emissions (thousand metric tons of carbon dioxide),182195,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,1985,Emissions (thousand metric tons of carbon dioxide),223305,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2005,Emissions (thousand metric tons of carbon dioxide),368484,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2010,Emissions (thousand metric tons of carbon dioxide),396195,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2015,Emissions (thousand metric tons of carbon dioxide),384882,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2018,Emissions (thousand metric tons of carbon dioxide),395916,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2019,Emissions (thousand metric tons of carbon dioxide),393847,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2020,Emissions (thousand metric tons of carbon dioxide),378417,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,1975,Emissions per capita (metric tons of carbon dioxide),12.9,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,1985,Emissions per capita (metric tons of carbon dioxide),13.9,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2005,Emissions per capita (metric tons of carbon dioxide),18.1,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2010,Emissions per capita (metric tons of carbon dioxide),17.8,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2015,Emissions per capita (metric tons of carbon dioxide),16,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2018,Emissions per capita (metric tons of carbon dioxide),15.7,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2019,Emissions per capita (metric tons of carbon dioxide),15.4,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
36,Australia,2020,Emissions per capita (metric tons of carbon dioxide),14.6,Data refer to fiscal years beginning 1 July.,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023."
40,Austria,1975,Emissions (thousand metric tons of carbon dioxide),50452,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,1985,Emissions (thousand metric tons of carbon dioxide),53980,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2005,Emissions (thousand metric tons of carbon dioxide),75938,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2010,Emissions (thousand metric tons of carbon dioxide),70094,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2015,Emissions (thousand metric tons of carbon dioxide),63280,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2018,Emissions (thousand metric tons of carbon dioxide),62984,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2019,Emissions (thousand metric tons of carbon dioxide),64414,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2020,Emissions (thousand metric tons of carbon dioxide),58925,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,1975,Emissions per capita (metric tons of carbon dioxide),6.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,1985,Emissions per capita (metric tons of carbon dioxide),7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2005,Emissions per capita (metric tons of carbon dioxide),9.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2010,Emissions per capita (metric tons of carbon dioxide),8.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2015,Emissions per capita (metric tons of carbon dioxide),7.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2018,Emissions per capita (metric tons of carbon dioxide),6.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2019,Emissions per capita (metric tons of carbon dioxide),7.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
40,Austria,2020,Emissions per capita (metric tons of carbon dioxide),6.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2005,Emissions (thousand metric tons of carbon dioxide),29185,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2010,Emissions (thousand metric tons of carbon dioxide),23643,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2015,Emissions (thousand metric tons of carbon dioxide),30797,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2018,Emissions (thousand metric tons of carbon dioxide),31534,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2019,Emissions (thousand metric tons of carbon dioxide),34325,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2020,Emissions (thousand metric tons of carbon dioxide),33167,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2005,Emissions per capita (metric tons of carbon dioxide),3.5,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2010,Emissions per capita (metric tons of carbon dioxide),2.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2015,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2018,Emissions per capita (metric tons of carbon dioxide),3.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2019,Emissions per capita (metric tons of carbon dioxide),3.4,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
31,Azerbaijan,2020,Emissions per capita (metric tons of carbon dioxide),3.3,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,1975,Emissions (thousand metric tons of carbon dioxide),5244,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,1985,Emissions (thousand metric tons of carbon dioxide),9132,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2005,Emissions (thousand metric tons of carbon dioxide),20641,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2010,Emissions (thousand metric tons of carbon dioxide),25644,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2015,Emissions (thousand metric tons of carbon dioxide),30179,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2018,Emissions (thousand metric tons of carbon dioxide),30284,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2019,Emissions (thousand metric tons of carbon dioxide),32733,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2020,Emissions (thousand metric tons of carbon dioxide),32247,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,1975,Emissions per capita (metric tons of carbon dioxide),19.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,1985,Emissions per capita (metric tons of carbon dioxide),21.7,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2005,Emissions per capita (metric tons of carbon dioxide),23.1,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2010,Emissions per capita (metric tons of carbon dioxide),20.6,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2015,Emissions per capita (metric tons of carbon dioxide),21.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2018,Emissions per capita (metric tons of carbon dioxide),19.2,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2019,Emissions per capita (metric tons of carbon dioxide),19.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
48,Bahrain,2020,Emissions per capita (metric tons of carbon dioxide),18.9,,"International Energy Agency, IEA World Energy Balances 2021 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed April 2023.",
